County,New Confirmed Cases,Confirmed Deaths,New Probable Cases,Confirmed Cases,Probable Deaths,Probable Cases,Vaccine Doses
atlantic,120,452,31,17264,22,4342,22813
bergen,372,2206,67,60252,268,7001,86616
burlington,191,637,35,27939,48,3638,38742
camden,175,951,31,36454,69,3948,46359
cape_may,15,141,22,3200,20,3012,11358
cumberland,68,287,7,10786,14,2055,11498
essex,351,2284,69,59974,255,5187,62777
gloucester,90,474,20,19137,22,2770,26024
hudson,369,1696,43,56735,171,4656,36437
hunterdon,42,93,3,5350,54,547,10785
mercer,108,780,9,23710,38,1334,21023
middlesex,323,1706,35,59768,217,4188,58828
monmouth,301,1154,32,44735,108,4374,59564
morris,223,844,48,27732,207,4585,58242
ocean,353,1561,44,44860,90,5369,47462
passaic,248,1439,38,47247,163,4015,36853
salem,18,129,7,3903,11,433,4691
somerset,112,649,33,16357,96,3589,30871
sussex,41,199,8,6917,55,930,13151
union,240,1489,66,44582,186,6675,38734
warren,35,184,2,5485,15,593,8018
