County,Confirmed Cases,Confirmed Deaths,New Confirmed Cases,New Probable Cases,Probable Cases,Probable Deaths,Vaccine Doses
atlantic,17433,462,76,27,4388,22,24689
bergen,60817,2215,282,66,7095,268,89499
burlington,28190,640,152,39,3696,48,40730
camden,36679,959,119,24,3996,69,48195
cape_may,3231,142,19,26,3046,20,12143
cumberland,10882,289,58,9,2079,14,11835
essex,60546,2289,262,38,5239,255,66769
gloucester,19291,478,84,16,2802,22,28022
hudson,57078,1697,155,44,4706,171,37417
hunterdon,5409,93,28,2,544,54,11407
mercer,23904,783,75,10,1353,38,22490
middlesex,60529,1716,379,49,4247,217,61101
monmouth,45179,1166,185,37,4425,108,62796
morris,28083,847,198,34,4658,207,60513
ocean,45349,1580,237,49,5444,90,50760
passaic,47759,1442,178,15,4041,163,39172
salem,3925,133,9,0,433,11,4895
somerset,16516,649,77,16,3612,96,32168
sussex,7007,200,43,6,944,55,13606
union,44896,1491,152,47,6747,186,39933
warren,5563,184,31,2,595,15,8271
