county,deaths_confirmed,deaths_probable,new_confirmed,new_probable,total_confirmed,total_probable
atlantic,434,23,178,38,16614,4128
bergen,2182,268,392,109,58206,6642
burlington,628,51,126,69,27114,3319
camden,918,67,178,52,35473,3693
cape may,140,20,22,17,3105,2858
cumberland,274,13,100,58,10420,1980
essex,2257,260,286,66,57750,4843
gloucester,463,22,175,39,18511,2589
hudson,1669,172,339,54,54914,4439
hunterdon,92,54,30,8,5147,521
mercer,759,39,139,16,23029,1227
middlesex,1664,217,428,56,57565,3973
monmouth,1119,104,379,47,43006,4077
morris,836,202,305,36,26502,4185
ocean,1532,90,363,86,42967,5055
passaic,1414,160,198,39,46045,3862
salem,124,9,39,13,3786,401
somerset,638,93,84,39,15810,3447
sussex,198,53,63,8,6637,881
union,1461,189,224,77,43581,6327
warren,182,15,40,3,5257,568
