county,vaccines,deaths,cases
atlantic,18230,434,16614
bergen,65959,2182,58206
burlington,30116,628,27114
camden,35464,918,35473
cape_may,8637,140,3105
cumberland,9364,274,10420
essex,47279,2257,57750
gloucester,21187,463,18511
hudson,27618,1669,54914
hunterdon,9033,92,5147
mercer,15072,759,23029
middlesex,44839,1664,57565
monmouth,45931,1119,43006
morris,44361,836,26502
ocean,36750,1532,42967
passaic,28734,1414,46045
salem,3259,124,3786
somerset,24263,638,15810
sussex,9738,198,6637
union,29562,1461,43581
warren,6092,182,5257
